year,land_dry_km2,water_wet_km2,n_dry_imgs,n_wet_imgs,net_change_km2,flood_pct
2017,2283.485835608896,1684.303833807814,6,7,0.0,137.46633034729828
2018,2250.9161123107724,1635.8907074771184,11,17,-32.56972329812379,133.51503920627232
2019,2304.1043211653573,1240.23649166003,35,7,20.61848555646111,101.22328041364872
2020,2220.4651906292256,1781.9989957417795,37,3,-63.02064497967058,145.43982962586117
2021,2338.442812015656,1507.7778610709552,40,4,54.95697640675962,123.05896678495178
2022,2302.132158039225,1293.9852769763013,31,2,18.646322430328837,105.61004729605175
2023,2323.456437462776,852.8852241626695,35,2,39.97060185388,69.60917598104392
2024,2330.4487921850014,759.0797429677416,24,4,46.96295657610517,61.95313732133461
2025,2354.220206062632,1299.824032815128,43,7,70.73437045373566,106.08658384655214
