year,erosion_km2,accretion_km2,net_km2
2018,1.2705046408618195,0.46931411837282544,-0.801190522488994
2019,2.713224583579766,0.7447512431923052,-1.9684733403874608
2020,3.2287116684934825,1.007527274527665,-2.2211843939658173
2021,4.702944753604326,1.255553283634424,-3.4473914699699018
2022,6.126361172447051,1.4581550653648845,-4.668206107082166
2023,7.017853121653267,1.9155817800803496,-5.1022713415729175
2024,8.62640288756721,2.255098291932499,-6.371304595634711
2025,9.82019591519549,2.3109992919263256,-7.509196623269164
